section,description,title,brief_title,tags
LGBTQ+ Rights,"The American Historical Association, the Organization of American Historians, the LGBTQ+ History Association, and eight historians with expertise in the history of gender, sexuality, and medicine filed a brief in United States v. Skrmetti, a case that considered whether a Tennessee bill restricting certain medical treatments for transgender minors violated the 14th Amendment’s Equal Protection Clause. The brief, filed in support of the transgender minors’ right to receive treatment, explains that the medical diagnosis of gender dysphoria has been recognized, treated, and relieved through gender-affirming medical interventions for centuries. The amici contend that the medical interventions threatened by the Tennessee bill, which include surgery and hormone therapy, are “well-established, mainstream forms of health care” with deep historical pedigrees.",United States v. Skrmetti (2025),"Brief of Amici Curiae American Historical Association, Organization of American Historians, LGBTQ+ History Association, and Historian Scholars in Support of Petitioner and Respondents in Support of Petitioner","14th Amendment, Equal Protection Clause, Gender-Affirming Care"
Immigration/Citizenship,"Eight scholars of history, political science, and law who specialize in the history of citizenship and gender filed a brief in Flores-Villar v. United States, a case that considered a constitutional challenge to federal statutory conditions under which children born abroad can claim U.S. citizenship. At the time of the challenge, federal law had different requirements for unwed American mothers and fathers to pass citizenship to a child born outside the United States. The brief argues that federal laws governing citizenship transmission have reflected sex-based stereotypes and outdated gender norms since the founding era.",Flores-Villar v. United States (2011),"Brief Amici Curiae of Professors of History, Political Science, and Law in Support of Petitioner","Immigration, Citizenship, Gender, Fifth Amendment, Equal Protection Clause"
Immigration/Citizenship,"Thirteen scholars of history, law, and political science with expertise in the history of citizenship and gender filed a brief in Sessions v. Morales-Santana, which invalidated a federal statute that treated unwed American fathers and mothers differently for purposes of passing citizenship to children born abroad. The brief canvasses historical citizenship laws to demonstrate the federal government’s pattern of relying on “outdated gender-based norms concerning proper parental roles” to regulate citizenship transmission. The amici maintain that laws of this kind contradict the Supreme Court’s equal protection and due process principles.",Sessions v. Morales-Santana (2017),"Brief Amici Curiae of Professors of History, Political Science, and Law in Support of Respondent","Immigration, Citizenship, Gender, Fifth Amendment, Equal Protection Clause"
Immigration/Citizenship,"Six historians and social scientists filed an brief in Department of Commerce v. New York, a case in which the Supreme Court blocked the Commerce Department’s decision to add a citizenship question to the 2020 census. The brief challenges the Commerce Department’s claim that its decision was merely a “reinstatement” of a question “whose pedigree dates back nearly 200 years.” The amici explain that the census has never asked for the citizenship status of everyone in the country, and that, more importantly, the census has changed in material ways that limit older iterations’ usefulness as models for contemporary ones.",Department of Commerce v. New York (2019),"Brief of Historians and Social Scientists Margo Anderson, Andrew Beveridge, Rachel Buff, Morgan Kousser, Mae Ngai, and Steven Ruggles as Amici Curiae in Support of Respondents","Citizenship, Census, Democracy"
Immigration/Citizenship,"The American Historical Association, the Organization of American Historians, and 42 historians filed a brief in Department of Homeland Security v. Regents of the University of California, which ruled that the decision by the Department of Homeland Security (DHS) to rescind the Deferred Action for Childhood Arrivals (DACA) policy violated the Administrative Procedure Act. The brief, filed in support of DACA, illustrates how government officials have used seemingly race-neutral language to hide discriminatory motivations and communicate racial and political messages over the course of U.S. history. The amici apply a widely accepted methodology called code word analysis to elucidate the anti-Mexican and anti-Latino sentiment underlying DHS’s decision. Amici Curiae Brief of American Historical Association, Organization of American Historians, 42 Historians, and the Fred T. Korematsu Center for Law and Equality in Support of Respondents",Department of Homeland Security v. Regents of the University of California (2020),,"Immigration, Fifth Amendment, Equal Protection"
Immigration/Citizenship,"Eleven historians and social scientists with expertise covering the census and immigration filed a brief in Trump v. New York, a case involving a constitutional challenge to a 2020 executive order that sought to exclude undocumented immigrants from the population counts used to calculate the decennial congressional apportionment. The brief argues that the Constitution requires all people, regardless of citizenship or immigration status, to be counted in the census and included in the apportionment base. The amici support this claim by providing the historical context for the framers’ crafting of the Apportionment and Enumeration Clauses, along with discussions of the 14th Amendment, the Reapportionment and Census Act of 1929, and census practice over the centuries. They emphasize that the census was created and has historically served as “a measure of population, not political membership.”",Trump v. New York (2020),Brief of Amici Curiae Historians of the Census in Support of Appellees,"Census, Apportionment, Democracy, Citizenship, 14th Amendment"
Immigration/Citizenship,"Three scholars of immigration law filed a brief in United States v. Palomar-Santiago, a case that considered the statutory prerequisites for a federal court to dismiss a removal order. The brief explains that the federal statute at issue originated in a racist intent to exclude Mexican immigrants from the United States, and that Congress failed to address that intent when it reenacted the statute in the 1950s. The amici urge the Court to construe the statute’s ambiguities in ways that favor defendants seeking to challenge their deportation as a way of ameliorating the statute’s discriminatory effects.",United States v. Palomar-Santiago (2021),"Brief for Professors Kelly Lytle Hernández, Mae Ngai, and Ingrid Eagly as Amici Curiae Supporting Respondent",Immigration
Immigration/Citizenship,"Eight immigration law and history scholars filed a brief in Department of State v. Muñoz, which ruled, among other things, that an American citizen does not have a constitutionally protected right to bring a noncitizen spouse to the United States. The brief examines historical immigration policies to illustrate the nation’s long-standing commitment and deeply rooted interest in family reunification. The amici explain that even in times of significant immigration restrictions, immigration policies made exceptions and granted special accommodations for immediate family members.",United States Department of State v. Muñoz (2024),Brief of Immigration Law and History Scholars as Amici Curiae in Support of Respondents,"Immigration, Citizenship"
Immigration/Citizenship,"The Supreme Court received multiple filings from historians in Trump v. CASA, a case that raised questions about the legality of nationwide injunctions barring the Trump administration’s executive order rescinding birthright citizenship. Six legal historians with expertise in the history of equity filed a brief supporting the injunctions as traditional equitable remedies. The brief maintains that courts of equity historically granted injunctions that protected both parties and non-parties to a case, as well as injunctions that had very broad scopes. The amici provide historical context to help explain the relative lack of nationwide injunctions prior to the 20th century, pointing to changes in sovereign immunity, jurisdiction, and venue that eliminated legal and practical hurdles to those injunctions. Three legal historians and scholars of immigration law and history filed a brief in support of nationwide injunctions and in opposition to the executive order. The brief explains that the order threatened to disproportionately affect Asian Americans and reverse “a century’s worth of efforts” to ensure equality for Asian Americans. Among other things, the amici highlight the importance of constitutional birthright citizenship guarantees for Asian Americans facing exclusionary immigration and naturalization policies that denied them pathways to naturalization throughout the 19th and 20th centuries.","Trump v. CASA, Inc. (2025)","Brief of Legal Historians as Amici Curiae in Support of Respondents | Brief for Professors Gabriel J. Chin, Erika Lee, and Paul Finkelman as Amici Curiae in Support of Respondents","Citizenship, 14th Amendment, Citizenship Clause, Nationwide Preliminary Injunctions"
Habeas Corpus,"Four constitutional law and history professors filed a brief in Williams v. Taylor, a case that considered, among other things, whether a state court’s refusal to set aside a criminal defendant’s death sentence was contrary to federal law or rested on an unreasonable application of it. Writing in support of the defendant, the amici argue that the Supreme Court should not defer to the state court’s interpretation of federal law in deciding whether the defendant was eligible for relief under the Antiterrorism and Effective Death Penalty Act of 1996. The brief explains that such deference would undermine the framers’ intent in drafting Article III of the Constitution: to empower the federal judiciary to ensure that state courts faithfully follow federal law. Motion for Leave to File Brief Amici Curiae and Brief Amici Curiae of Professors Lance G. Banning, Jack N. Rakove, William W. Van Alstyne, and Gordon G. Young in Support of Petitioner",Williams v. Taylor (2000),,"Article III, Habeas Corpus"
Habeas Corpus,"Twenty-one legal historians with expertise in English legal history and the founding era filed a brief in Immigration and Naturalization Service v. St. Cyr, a case that upheld, among other things, a deportable noncitizen’s right to habeas corpus in the face of amendments to the Immigration and Nationality Act of 1952. The brief looks to both English common law and early American law to demonstrate that habeas corpus has traditionally been available to citizens and noncitizens alike to challenge their unlawful civil or criminal confinement at the hands of the government. According to the amici, these overlapping histories further demonstrate that habeas is a proper vehicle for resolving challenges that hinge on matters of statutory interpretation.",Immigration and Naturalization Service v. St. Cyr (2001),Brief Amici Curiae of Legal Historians Listed Herein in Support of Respondent,"Habeas Corpus, Citizenship, Immigration"
Habeas Corpus,"Twenty-four legal historians with expertise in English common law and early American legal history filed a brief in Rasul v. Bush, which ruled that people detained at Guantánamo Bay had a right to habeas corpus and could challenge their detentions as unconstitutional. Written to support the availability of habeas to the detainees, the brief shows that the common law writ of habeas corpus was available throughout the territories of the British Empire — even to alleged “enemy aliens” — in the years leading up to the Constitutional Convention. The amici explain that the framers incorporated these common law concepts into the Constitution’s Suspension Clause, and that early American courts routinely upheld them.",Rasul v. Bush (2004),Brief Amici Curiae of Legal Historians Listed Herein in Support of the Petitioners,"Habeas Corpus, Suspension Clause"
Habeas Corpus,"The Supreme Court received multiple filings from historians in Boumediene v. Bush, a case that, among other things, ruled the Military Commissions Act of 2006 unconstitutional and upheld Guantánamo Bay detainees’ right to habeas corpus. Twenty-five historians with expertise in English common law and early American legal history filed a brief in support of the detainees. The brief reviews the common law history to demonstrate that the writ of habeas corpus was available to detainees regardless of their nationality; that it applied regardless of the “formal sovereign status” of the territory where the detainees were being held; and that it required courts to rigorously and independently review the facts to ensure that detentions were not illegal. Seventeen historians and scholars of the Constitution also filed a brief in support of the detainees. The brief explains that the framers recognized habeas corpus as a crucial bulwark against legislative and executive abuses. The amici argue that the framers intended the habeas guarantee to be judicially enforceable and not subject to statutory override by Congress — a conclusion backed by a long tradition of Supreme Court case law.",Boumediene v. Bush (2008),Brief of Legal Historians as Amici Curiae in Support of Petitioners | Brief of Amicus Curiae in Support of Petitioners,"Habeas Corpus, Suspension Clause"
Habeas Corpus,"Twenty-three legal historians with expertise in English and early American legal history filed a brief in Department of Homeland Security v. Thuraissigiam, which ruled that a federal statute limiting habeas protections for noncitizens subject to expedited removal did not violate the Constitution’s Suspension or Due Process Clauses. Writing in support of a man facing deportation, the amici draw on English and American legal history to demonstrate the breadth of the people and situations to which habeas protections traditionally applied. They further argue that the framers would not have empowered the federal government to override the writ simply for practical purposes or political expediency.",Department of Homeland Security v. Thuraissigiam (2020),Brief of Legal Historians as Amici Curiae in Support of Respondent,"Habeas Corpus, Citizenship, Suspension Clause, Due Process Clause"
Gun Rights,"The Supreme Court received multiple filings from historians in District of Columbia v. Heller, which ruled that the Second Amendment guarantees an individual right to bear arms for the purpose of self-defense. Fifteen historians of the founding era and early American legal history filed a brief explaining that the framers did not enshrine a personal right to bear arms in the Second Amendment. The brief explores the original meaning of the amendment through a contextual analysis of British law and founding era constitutional debates. The amici show, among other things, that the question of an individual right to bear arms “never crossed the threshold of constitutional significance in 1787–1789”; instead, they argue, Second Amendment debates centered on the role of militias — thus making the amendment’s preamble critical to understanding the content of its guarantees. The CATO Institute and a historian of Anglo-American legal history filed a brief arguing that English common law granted an individual right to bear arms, especially for self-defense, and that the Second Amendment constitutionalized that right. When translated into the American legal context, the amici explain, the right broadened to recognize the importance of facilitating citizen militias, but it remained at its core a personal right for the purposes of defending one’s home and family.",District of Columbia v. Heller (2008),"Brief of Amici Curiae Jack N. Rakove, Saul Cornell, David T. Konig, William J. Novak, Lois G. Schwoerer et al. in Support of Petitioners | Brief of the CATO Institute and History Professor Joyce Lee Malcolm as Amici Curiae in Support of Respondent",Second Amendment
Gun Rights,"The Supreme Court received multiple filings from historians in McDonald v. City of Chicago, which held that the individual right to bear arms for self-defense is applicable to the states (and municipalities) under the 14th Amendment’s Due Process Clause. Thirty-four historians of law, constitutional history, the Second Amendment, and the Reconstruction Amendments filed a brief in support of the local firearms ordinances at issue in the case. The brief argues that states’ and municipalities’ powers to regulate firearms are part of a history and tradition of regulation dating to the antebellum period. The amici demonstrate that after the 14th Amendment was passed, states continued to enact “reasonable non-discriminatory safety regulations, including regulations banning classes of dangerous weapons.” Four historians of early American legal and constitutional history and Pennsylvania history filed a brief in support of the constitutionality of the ordinances. The brief argues that the right to keep and bear arms was the “dominant” motivation for the Second Amendment, and, in turn, that any “right of individual self-defense” recognized at the time of the framing “provided no motivation” for the Second Amendment’s adoption. Six historians and legal scholars of the 14th Amendment filed a brief to challenge the incorporation of the entirety of the Bill of Rights — including the Second Amendment — against the states. The brief argues that incorporation of this kind would upend 135 years of precedent and the distribution of powers between state and federal governments. The amici further contend that neither the 14th Amendment’s plain text, nor its legislative intent or original public meaning, support the incorporation of the Bill of Rights in total — or the Second Amendment alone — against the states. Twenty-one historians of English and early American history filed a brief in support of the local ordinances. The brief asked the Court to reconsider its prior factual findings in District of Columbia v. Heller (2008), arguing that an individual’s right to bear arms for that individual’s “self-defense” was not “deeply rooted in our nation’s traditions.” The amici explain that the right to “have arms” found in the English Declaration of Rights — which formed the basis of the Second Amendment right — “referred to a right to possess arms in defense of the realm.” The brief asserts that the founders shared this understanding, and that the Second Amendment was drafted to reflect as much.",McDonald v. City of Chicago (2010),"Brief of Thirty-Four Professional Historians and Legal Historians as Amici Curiae in Support of Respondents | Brief of Historians on Early American Legal, Constitutional and Pennsylvania History as Amici Curiae in Support of Respondent City of Chicago | Brief of Historians and Legal Scholars as Amici Curiae in Support of Respondent City of Chicago, et al. | Brief for English/Early American Historians as Amici Curiae in Support of Respondents","Second Amendment, 14th Amendment, Due Process Clause"
Gun Rights,"The Supreme Court received multiple filings from historians in New York State Rifle & Pistol Association v. Bruen, which declared that a New York state law governing licenses for the concealed carry of firearms violated the Second Amendment. Seventeen professors of history and law filed a brief in support of the New York law. The brief emphasizes that both English and American law had, for centuries, restricted the public carry of dangerous weapons to ensure order and peace, and that both sanctioned discretionary licensing regimes. To substantiate that point, the amici survey English and American legal sources from the 13th century through the 20th. Four experts in the fields of linguistics, law, and legal history filed a brief in support of the New York law. The brief uses a corpus linguistics approach to analyze the meaning of the Second Amendment to founding era voters. According to the amici, this approach suggests that ordinary citizens understood that the Second Amendment’s reference to a right to “keep and bear arms” had “a collective, militaristic meaning at the Founding,” and also that the government could regulate that right. The brief emphasizes that advances in corpus linguistics provide judges and lawyers with access to substantially more historical material than was available at the time the Supreme Court decided District of Columbia v. Heller (2008) and McDonald v. City of Chicago (2010).","New York State Rifle & Pistol Association, Inc. v. Bruen (2022)",Brief for Amici Curiae Professors of History and Law in Support of Respondents | Brief for Corpus Linguistics Professors and Experts as Amici Curiae Supporting Respondents,Second Amendment
Gun Rights,"Eighteen historians and scholars of English and American history and law filed a brief in United States v. Rahimi, a case that upheld a federal law barring individuals under domestic violence restraining orders from possessing firearms. The brief, which supports the law’s constitutionality, documents the long-standing history and tradition of restricting “dangerous” individuals from possessing firearms, beginning with English common law and stretching into the 20th century. It also explains how domestic violence was regulated “to protect the public peace” during the founding era. To support their assertions, the amici draw on published primary and secondary scholarship as well as unpublished primary sources that provide insight into English common law and founding era local customs.",United States v. Rahimi (2024),Brief for Amici Curiae Professors of History and Law in Support of Petitioner,Second Amendment
Federal Indian Law,"Seven historians and legal scholars of Native American law and legal history filed a brief in Dollar General Corp. v. Mississippi Band of Choctaw Indians, a case that considered whether tribal courts had jurisdiction in civil tort suits against non–tribe members. The brief argues that tribal jurisdiction over nonmembers’ activities on tribal land — and over civil disputes arising from those activities — extends from tribes’ historical inherent sovereignty. According to the amici, the historical record demonstrates that this jurisdiction has been recognized for centuries, beginning with the first treaties ever signed between a Native American tribe and the United States, and that the federal government has upheld this principle throughout the nation’s subsequent history.",Dollar General Corp. v. Mississippi Band of Choctaw Indians (2016),"Brief for Amici Curiae Historians and Legal Scholars Gregory Ablavsky, Bethany R. Berger, Ned Blackhawk, Daniel Carpenter, Matthew L. M. Fletcher, Maggie McKinley, and Joseph William Singer in Support of Respondents",Federal Indian Law
Federal Indian Law,"Nine historians and legal scholars with expertise in Oklahoma history and Native American policy joined with the Cherokee Nation to file a brief in McGirt v. Oklahoma, a case that considered whether, under the Major Crimes Act, land reserved for the Creek Nation remained “Indian country” for purposes of determining federal jurisdiction for a crime committed by a tribal member on tribal land. The brief argues that the Creek Nation remains an established tribal authority. The amici explain that although various attempts were made during the 19th and 20th centuries to disestablish the Creek Nation — through settler invasion, removal policy, and assimilation policy, among other policies — these policies failed, and the Creek Nation retains the “same governmental authority as other tribes nationwide.”",McGirt v. Oklahoma (2020),"Brief of Amici Curiae Historians, Legal Scholars, and Cherokee Nation in Support of Petitioner",Federal Indian Law
Federal Indian Law,"Ten historians and legal scholars of Oklahoma history and Native American law and policy joined with the Cherokee Nation to file a brief in Sharp v. Murphy, a case that considered whether, under the Major Crimes Act, land reserved for the Creek Nation remained “Indian country” for purposes of determining federal jurisdiction for a crime committed by a tribal member on tribal land. The brief argues that the contested land has the same jurisdictional status as Indian lands elsewhere and was never disestablished, notwithstanding the conduct of the federal government and Oklahoma toward the Creek Nation over the course of the 19th and 20th centuries. The amici trace the history of the Creek Nation from the 1830s onward to show, among other things, that state prosecutions of crimes that occurred on the reservation were carried out in defiance of federal law and state and federal precedents.",Sharp v. Murphy (2020),"Brief of Amici Curiae Historians, Legal Scholars, and Cherokee Nation in Support of Respondent",Federal Indian Law
Federal Indian Law,"Three scholars of federal Indian law and history filed a brief in Oklahoma v. Castro-Huerta, a case that considered whether both states and the federal government have the power to prosecute non–Native American individuals for crimes they commit against Native people on Native land. The brief argues that only the federal government can prosecute crimes of this type, in keeping with more than 200 years of law and practice. The amici trace this principle from the Constitution through 21st-century congressional legislation. The brief emphasizes that any state jurisdiction over crimes by or against Native people on Native land “is a matter of federal legislative grace.”",Oklahoma v. Castro-Huerta (2022),Brief of Amici Curiae Federal Indian Law Scholars and Historians in Support of Respondent,Federal Indian Law
Federal Indian Law,"Five scholars who specialize in the history of relations between Native American nations and the United States filed a brief in Arizona v. Navajo Nation, which ruled that the federal government’s failure to assert Colorado River water rights for the Navajo Tribe did not violate the government’s legal duties to the tribe. The brief argues that the federal government failed to fulfill the trust doctrine, an early American agreement between Native American tribes and the federal government that has defined the relationship throughout the country’s history. Among other things, the amici describe how Congress and the executive branch have bound themselves since the founding era to protect and care for Native American nations, including by ensuring that they have adequate water for their homelands.",Arizona v. Navajo Nation (2023),Brief of Amici Curiae Historians in Support of Respondents,Federal Indian Law
