section,entity,year,description_html,source,tags
Affirmative Action,Trump v. New York,2020,"Eleven historians and social scientists with expertise covering the census and immigration filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-01/trump-v-new-york-historians-of-the-census.pdf"" target=""blank"">brief</a> in Trump v. New York, a case involving a constitutional challenge to a 2020 executive order that sought to exclude undocumented immigrants from the population counts used to calculate the decennial congressional apportionment. The brief argues that the Constitution requires all people, regardless of citizenship or immigration status, to be counted in the census and included in the apportionment base. The amici support this claim by providing historical context for the framers' crafting of the Apportionment and Enumeration Clauses, along with discussions of the 14th Amendment, the Reapportionment and Census Act of 1929, and census practice over the centuries. They emphasize that the census was created and has historically served as &quot;a measure of population, not political membership.&quot;","<a href=""https://www.brennancenter.org/sites/default/files/2025-01/trump-v-new-york-historians-of-the-census.pdf"" target=""blank"">Brief of Amici Curiae Historians of the Census in Support of Appellees</a>","Apportionment Clause, Census, Citizenship, Democracy, Enumeration Clause, 14th Amendment"
Affirmative Action,United States v. Palomar-Santiago,2021,"Three scholars of immigration law filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/us-v-palomar-santiago-professors.pdf"" target=""blank"">brief</a> in United States v. Palomar-Santiago, a case that considered the statutory prerequisites for a federal court to dismiss a removal order. The brief explains that the federal statute at issue originated in a racist intent to exclude Mexican immigrants from the United States, and that Congress failed to address that intent when it reenacted the statute in the 1950s. The amici urge the Court to construe the statute's ambiguities in ways that favor defendants seeking to challenge their removal as a way of ameliorating the statute's discriminatory effects.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/us-v-palomar-santiago-professors.pdf"" target=""blank"">Brief for Professors Kelly Lytle Hernández, Mae Ngai, and Ingrid Eagly as Amici Curiae Supporting Respondent</a>","Immigration, Racial Discrimination"
Affirmative Action,Department of State v. Muñoz,2024,"Eight immigration law and history scholars filed a <a href=""https://www.brennancenter.org/sites/default/files/2024-06/us-department-of-state-v-munoz-immigration-law-and-history-scholars.pdf"" target=""blank"">brief</a> in Department of State v. Muñoz, which ruled, among other things, that an American citizen does not have a constitutionally protected right to bring a noncitizen spouse to the United States. The brief examines historical immigration policies to illustrate the nation's long-standing commitment and deeply rooted interest in family reunification. The amici explain that even in times of significant immigration restrictions, immigration policies made exceptions and granted special accommodations for immediate family members.","<a href=""https://www.brennancenter.org/sites/default/files/2024-06/us-department-of-state-v-munoz-immigration-law-and-history-scholars.pdf"" target=""blank"">Brief of Immigration Law and History Scholars as Amici Curiae in Support of Respondents</a>","Citizenship, Immigration"
Affirmative Action,Trump v. CASA,2025,"The Supreme Court received multiple filings from historians in Trump v. CASA, a case that raised questions about the legality of nationwide injunctions barring the Trump administration's executive order rescinding birthright citizenship.<br><br>Six legal historians with expertise in the history of equity filed a <a href=""https://www.brennancenter.org/media/14041/download/trump-v-casa-legal-historians.pdf?inline=1"" target=""blank"">brief</a> supporting injunctions as traditional equitable remedies. The brief explains that courts of equity historically granted injunctions that protected both parties and non-parties to a case, as well as injunctions that had broad geographic scopes. The amici provide historical context to help explain the relative lack of nationwide injunctions prior to the 20th century, pointing to changes in sovereign immunity, jurisdiction, and venue that eliminated legal and practical hurdles to those injunctions.<br><br><a href=""https://www.brennancenter.org/media/14041/download/trump-v-casa-legal-historians.pdf?inline=1"" target=""blank"">Brief of Legal Historians as Amici Curiae in Support of Respondents</a><br><br>Three legal historians and scholars of immigration law and history filed a <a href=""https://www.brennancenter.org/media/14040/download/trump-v-casa-chin-et-al.pdf?inline=1"" target=""blank"">brief</a> in support of nationwide injunctions and in opposition to the executive order. The brief explains that the order threatened to disproportionately affect Asian Americans and reverse &quot;a century's worth of efforts&quot; to ensure equal treatment for Asian Americans. Among other things, the amici highlight the importance of constitutional birthright citizenship guarantees for Asian Americans, who faced exclusionary immigration and naturalization policies that denied them pathways to naturalization throughout the 19th and 20th centuries.","<a href=""https://www.brennancenter.org/media/14040/download/trump-v-casa-chin-et-al.pdf?inline=1"" target=""blank"">Brief for Professors Gabriel J. Chin, Erika Lee, and Paul Finkelman as Amici Curiae in Support of Respondents</a>","Citizenship, Citizenship Clause, 14th Amendment, Nationwide Preliminary Injunctions"
Executive Power,Hamdan v. Rumsfeld,2006,"The Supreme Court received multiple filings from historians in Hamdan v. Rumsfeld, a case that considered the legality of a special military commission established by the executive branch to try enemy combatants during the war on terror.<br><br>Three legal historians filed a <a href=""https://www.brennancenter.org/media/14312/download/hamdan-v-rumsfeld-lawrence-friedman-et-al.pdf?inline=1"" target=""blank"">brief</a> challenging the contention that executive military commissions historically had tried enemy combatants under procedures set solely by the president. The brief looks to the Barbary Wars, a pair of early 19th-century wars that the United States fought with several North African states, to demonstrate that the founding generation followed &quot;recognized international law and custom&quot; in dealing with &quot;unconventional enemies.&quot; Among other things, the amici explain that these customs included &quot;extraordinary deference to standard military detention and adjudication procedures.&quot;<br><br><a href=""https://www.brennancenter.org/media/14312/download/hamdan-v-rumsfeld-lawrence-friedman-et-al.pdf?inline=1"" target=""blank"">Brief of Lawrence M. Friedman, Jonathan Lurie, and Alfred P. Rubin as Amici Curiae in Support of Petitioner</a><br><br>Three historians and legal scholars filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-08/hamdan-v-rumsfeld-legal-scholars-and-historians.pdf"" target=""blank"">brief</a> challenging the government's reliance on Ex Parte Quirin (1942) to justify ordering trials by military commission. The brief draws on the historical circumstances surrounding Quirin to condemn it as &quot;an illegitimate precedent that offends this nation's modern sense of justice.&quot; To support their claim, the amici point to judicial bias and conflicts of interest among the Supreme Court justices who issued the ruling.<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-08/hamdan-v-rumsfeld-legal-scholars-and-historians.pdf"" target=""blank"">Brief of Legal Scholars and Historians as Amici Curiae in Support of Petitioner</a><br><br>Eight historians of the founding era and early American military history filed a <a href=""https://www.brennancenter.org/media/14311/download/hamdan-v-rumsfeld-jack-rakove-et-al.pdf?inline=1"" target=""blank"">brief</a> opposing the commission. Their brief responds to the argument that the founders held an expansive view of executive power that granted the president unilateral authority and significant discretion in dealing with military and diplomatic affairs. The brief argues that the founding generation instead sought legislative supervision and control of the executive, in keeping with a deeper Anglo-American rejection of monarchical ideas of executive prerogative. In light of this understanding, the amici assert, the framers divided the powers relating to military and foreign affairs between the president and Congress.<br><br><a href=""https://www.brennancenter.org/media/14311/download/hamdan-v-rumsfeld-jack-rakove-et-al.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Jack N. Rakove, Fred Anderson, Caroline Cox, R. Don Higginbotham, Charles A. Lofgren, Robert L. Middlekauf, Lois G. Schwoerer, and John Shy in Support of Petitioner</a><br><br>Eight scholars of military history and law filed a <a href=""https://www.brennancenter.org/media/14313/download/hamdan-v-rumsfeld-military-law-historians.pdf?inline=1"" target=""blank"">brief</a> contesting the legality of the commission. The brief argues that the president's power to create procedures for military commissions is limited by, among other things, the historical understanding of military commissions as provided by Article 36 of the Uniform Code of Military Justice. To support their assertions, the amici examine the code's legislative history, beginning with the 1916 Revised Articles of War and subsequent revisions, as well as the history of military commissions during the Mexican War, the Civil War, and the military occupation of the Philippines.","Brief of Military Law Historians, Scholars, and Practitioners (Military Commissions and the Articles of War)","Executive Power, Foreign Affairs, Military"
Executive Power,Trump v. Hawaii,2018,"Twenty-one scholars of American religious history law filed a <a href=""https://www.brennancenter.org/media/14137/download/trump-v-hawaii-mormon-scholars.pdf?inline=1"" target=""blank"">brief</a> in Trump v. Hawaii, a case that considered the legality of an executive order suspending the entry of foreign nationals into the United States. The brief, filed in support of neither party to the case, focuses on the history of religious discrimination against Mormon immigrants to alert the Court to the importance of strict judicial scrutiny of laws motivated by fears of religious minorities.","<a href=""https://www.brennancenter.org/media/14137/download/trump-v-hawaii-mormon-scholars.pdf?inline=1"" target=""blank"">Brief of Scholars of Mormon History and Law as Amici Curiae in Support of Neither Party</a>","Establishment Clause, Executive Power, First Amendment, Immigration, Religion"
Executive Power,Trump v. United States,2024,"Fifteen historians of the founding era filed a <a href=""https://www.brennancenter.org/sites/default/files/2024-06/trump-v-us-scholars-of-the-founding-era.pdf"" target=""blank"">brief</a> in Trump v. United States, a case that granted broad new immunities from criminal prosecution to presidents for acts they commit while in office. In urging the Court to reject such immunities, the brief explains that presidential immunity contradicts the founding generation's rejection of monarchical privilege and concerns about abuses of executive power. The amici also argue that attempts by presidents to overturn the results of elections constitute fundamental crimes against the democratic order.","<a href=""https://www.brennancenter.org/sites/default/files/2024-06/trump-v-us-scholars-of-the-founding-era.pdf"" target=""blank"">Brief of Amici Curiae Scholars of the Founding Era in Support of Respondent</a>","Democracy, Elections, Executive Power, Presidential Immunity"
Executive Power,Learning Resources v. Trump (2026); Trump v. V.O.S. Selections,2026,"Nine scholars of the history of constitutional law and the presidency filed a <a href=""https://www.brennancenter.org/sites/default/files/2026-01/learning-resources-v-trump-con-law-scholars.pdf"" target=""blank"">brief</a> in Learning Resources v. Trump and Trump v. V.O.S. Selections, two cases in which the Supreme Court considered whether President Trump exceeded his legal authority when setting tariffs under the International Emergency Economic Powers Act (IEEPA). The brief argues that Congress has held plenary authority over the nation's tariff power since the founding era, and that it can only delegate that power to the president &quot;within defined bounds.&quot; The brief explains that the legislative framework under which President Trump claimed to be acting was one in which Congress deliberately sought to restrain presidential authority over tariffs, not expand it. The brief concludes that, absent a clear delegation from Congress, the president had exceeded his authority under the &quot;major questions doctrine.&quot;","<a href=""https://www.brennancenter.org/sites/default/files/2026-01/learning-resources-v-trump-con-law-scholars.pdf"" target=""blank"">Brief of Amici Curiae Scholars of the History of Constitutional Law and the Presidency in Support of Petitioners in No. 24-1287 and Respondents in No. 25-520</a>","Executive Power, International Emergency Economic Powers Act, Tariffs"
Executive Power,Trump v. Cook,2026,"The Supreme Court received multiple filings from historians in Trump v. Cook, a case that considered the legality of the Trump administration's attempt to remove a member of the Federal Reserve Board of Governors.<br><br>A legal historian with expertise in early American law and presidential power filed a <a href=""https://www.brennancenter.org/media/14631/download/manners-amicus-brief.pdf?inline=1"" target=""blank"">brief</a> exploring the history of statutes that give the heads of independent agencies - like the Federal Reserve - terms with fixed-year durations and allow presidents to remove those heads only &quot;for cause.&quot; Based on a survey of 19th- and early 20th-century state and federal case law, the brief argues that Congress required any such removal of agency heads to be accompanied by notice and a hearing. The brief further explains that courts have the power to review the president's determination of &quot;cause&quot; for the firing.<br><br><a href=""https://www.brennancenter.org/media/14631/download/manners-amicus-brief.pdf?inline=1"" target=""blank"">Brief of Professor Jane Manners as Amicus Curiae in Support of Respondents</a><br><br>A legal historian with expertise in the history of executive power filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-11/jed-shugerman-stay-pi.pdf?inline=1"" target=""blank"">brief</a> tracing centuries of English common law and early American case law to explain that when Congress creates an office with a fixed term or with protection against presidential removal, it grants the officeholder a property interest in their office. As such, officeholders must receive fair notice and a meaningful opportunity to respond before they can be removed. It further argues that, from a historical perspective, these protections are consistent with the president's constitutional duty to faithfully execute the laws.","<a href=""https://www.brennancenter.org/sites/default/files/2025-11/jed-shugerman-stay-pi.pdf?inline=1"" target=""blank"">Brief of Amicus Curiae Jed Shugerman in Opposition to the Application to Stay the Preliminary Injunction</a>","Executive Power, Federal Agencies, Independent Agencies, Officer Removal"
Executive Power,Trump v. Slaughter,2026,"The Supreme Court received multiple filings from historians in Trump v. Slaughter, a case that considered the constitutionality of statutory removal protections for commissioners of the Federal Trade Commission (FTC) after the president attempted to fire a commissioner.<br><br>A legal historian with expertise in early American law and presidential power filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-11/manners-brief-slaughter.pdf?inline=1"" target=""blank"">brief</a> supporting the fired commissioner. The brief argues that the president has no inherent authority to remove independent agency officers at will and that Congress has well-settled constitutional authority to limit the president's removal power. The brief surveys the history of these limitations to demonstrate that they were derived from robust common law and state law precedents, deployed by early American state legislatures, codified by Congress in the 19th century without any constitutional controversy, and routinely adopted to throughout the 20th century to create new independent agencies.<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-11/manners-brief-slaughter.pdf?inline=1"" target=""blank"">Brief of Amicus Curiae Professor Jane Manners in Support of Respondents</a><br><br>Two scholars of constitutional law, presidential power, and American legal history filed a <a href=""https://www.brennancenter.org/media/14714/download/slaughter-gienapp-and-katz.pdf?inline=1"" target=""blank"">brief</a> reviewing recent historical scholarship to show that the early Congresses did not think that the president had an inherent constitutional authority to remove officers - much less an unlimited authority to remove them. Rather, the historians explain, Congress determined the existence and extent of the president's removal authority by way of legislation, sometimes choosing to vest removal authority in non-executive branch entities to ensure effective administration. The brief concludes that the structure of contemporary independent agencies is consistent with this early historical practice.<br><br><a href=""https://www.brennancenter.org/media/14714/download/slaughter-gienapp-and-katz.pdf?inline=1"" target=""blank"">Brief for Amici Curiae Professor Andrea Scoseria Katz and Professor Jonathan Gienapp in Support of Respondents</a><br><br>Two historians of constitutional and administrative law filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-11/slaughter-rosenblum-and-donahue.pdf?inline=1"" target=""blank"">brief</a> that explores the longstanding state and federal precedent for categorizing agency activity as &quot;quasi-legislative&quot; and &quot;quasi-judicial,&quot; as well as the precedent for protecting officers performing that activity from removal. The brief maintains that the histories behind these terms were well understood when the Supreme Court deployed them in Humphrey's Executor v. United States (1935).<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-11/slaughter-rosenblum-and-donahue.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Legal Historians Noah A. Rosenblum and Nathaniel Donahue in Support of the Respondents</a><br><br>A legal historian with expertise in the history of executive power filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-11/jed-shugerman.pdf?inline=1"" target=""blank"">brief</a> presenting an originalist defense of removal protections for independent agency officers. The brief centers on the Constitution's Necessary and Proper Clause, drawing on the text and original public meaning of the clause to conclude that Congress can legislate certain exceptions to the president's removal power for &quot;necessary ends and [with] proper means.&quot;","<a href=""https://www.brennancenter.org/sites/default/files/2025-11/jed-shugerman.pdf?inline=1"" target=""blank"">Brief Amicus Curiae of Professor Jed Handelsman Shugerman in Support of Respondents</a>","Executive Power, Federal Agencies, Independent Agencies, Officer Removal"
Federal Indian Law,Dollar General v. Mississippi Band of Choctaw Indians,2016,"Seven historians and legal scholars of federal Indian law and legal history filed a <a href=""https://www.brennancenter.org/media/13962/download/dollar-general-corp-v-mississippi-band-of-choctaw-indians-2015_1.pdf?inline=1"" target=""blank"">brief</a> in Dollar General v. Mississippi Band of Choctaw Indians, a case that considered whether tribal courts had jurisdiction in civil tort suits against nonmembers. The brief argues that tribal jurisdiction over nonmembers' activities on tribal land - and over civil disputes arising from those activities - extends from tribes' historical inherent sovereignty. According to the amici, the historical record demonstrates that this jurisdiction has been recognized for centuries, beginning with the first treaties ever signed between a Native American tribe and the United States, and that the federal government has upheld this principle throughout the nation's subsequent history.","<a href=""https://www.brennancenter.org/media/13962/download/dollar-general-corp-v-mississippi-band-of-choctaw-indians-2015_1.pdf?inline=1"" target=""blank"">Brief for Amici Curiae Historians and Legal Scholars Gregory Ablavsky, Bethany R. Berger, Ned Blackhawk, Daniel Carpenter, Matthew L. M. Fletcher, Maggie McKinley, and Joseph William Singer in Support of Respondents</a>",Federal Indian Law
Federal Indian Law,McGirt v. Oklahoma,2020,"Nine historians and legal scholars with expertise in Oklahoma history and federal Indian law and policy joined the Cherokee Nation to file a <a href=""https://www.brennancenter.org/media/13963/download/mcgirt-v-oklahoma-historians-legal-scholars-and-cherokee-nation.pdf?inline=1"" target=""blank"">brief</a> in McGirt v. Oklahoma, a case that considered whether, under the Major Crimes Act of 1885, land reserved for the Creek Nation remained &quot;Indian country&quot; for purposes of determining federal jurisdiction over a crime committed by a tribal member on tribal land. The brief argues that the Creek Nation remains an established tribal authority. The amici explain that although various attempts were made during the 19th and 20th centuries to disestablish the Creek Nation - through settler invasion, removal policy, assimilation policy, and other policies - these policies failed, and the Creek Nation retains the &quot;same governmental authority as other tribes nationwide.&quot;","Brief of Amici Curiae Historians, Legal Scholars, and Cherokee Nation in Support of Petitioner","Federal Indian Law, Major Crimes Act of 1885"
Federal Indian Law,Sharp v. Murphy,2020,"Ten historians and legal scholars of Oklahoma history and federal Indian law and policy joined the Cherokee Nation to file a <a href=""https://www.brennancenter.org/media/13964/download/sharp-v-murphy-historians-legal-scholars-and-cherokee-nation.pdf?inline=1"" target=""blank"">brief</a> in Sharp v. Murphy, a case that considered whether, under the Major Crimes Act of 1885, land reserved for the Creek Nation remained &quot;Indian country&quot; for purposes of determining federal jurisdiction for a crime committed by a tribal member on tribal land. The brief argues that the contested land has the same jurisdictional status as Indian lands elsewhere and was never disestablished, notwithstanding the conduct of the federal government and the state of Oklahoma toward the Creek Nation over the course of the 19th and 20th centuries. The amici trace the history of the Creek Nation from the 1830s onward to show, among other things, that state prosecutions of crimes that occurred on the reservation were carried out in defiance of federal law and state and federal precedents.","<a href=""https://www.brennancenter.org/media/13964/download/sharp-v-murphy-historians-legal-scholars-and-cherokee-nation.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Historians, Legal Scholars, and Cherokee Nation in Support of Respondent</a>","Federal Indian Law, Major Crimes Act of 1885"
